Time,State,Emotion,Yaw,Pitch,Roll
32.18s,Attentive,sad,-7,-5,0
32.26s,Attentive,sad,-7,-5,0
32.29s,Attentive,sad,-7,-5,0
32.36s,Attentive,sad,-7,-5,0
32.39s,Attentive,sad,-7,-5,0
32.46s,Attentive,sad,-7,-5,0
32.49s,Attentive,sad,-7,-5,0
32.55s,Attentive,sad,-7,-5,0
32.58s,Attentive,sad,-7,-5,0
32.71s,Attentive,neutral,-13,-10,0
32.78s,Attentive,neutral,-13,-10,0
32.81s,Attentive,neutral,-13,-10,0
32.89s,Attentive,neutral,-14,-9,0
32.96s,Attentive,neutral,-14,-9,0
32.99s,Not Attentive,neutral,-15,-11,0
33.08s,Not Attentive,neutral,-15,-11,0
33.10s,Not Attentive,neutral,-15,-11,0
33.15s,Not Attentive,neutral,-15,-11,0
33.18s,Not Attentive,neutral,-15,-11,0
33.28s,Not Attentive,neutral,-14,-13,2
